OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
OG459_1	4	4	0	4	0	0	0	0	4	4	4
OG633_2	4	4	0	4	0	1	0	1	4	4	4
OG1453_2	4	2	0	4	0	2	0	2	2	4	4
AT1G65430	2	0	0	4	0	2	2	2	2	4	4
OG99_1	0	0	0	4	0	2	0	2	2	4	4
OG1542_3	0	0	0	4	0	2	0	2	2	4	4
AT1G52700	0	0	0	4	0	0	2	2	2	4	4
ATCG00560	0	0	0	4	0	0	2	2	2	4	4
AT3G50220	0	0	0	4	0	0	1	1	1	4	4
OG5966_2	1	0	0	4	0	0	0	0	0	4	4
OG3625_2	2	0	0	4	0	0	0	0	0	4	4
OG1114_1	0	2	0	4	0	0	0	0	0	4	4
OG6842_4	0	2	0	4	0	0	0	0	0	4	4
OG10021_1	0	2	0	4	0	0	0	0	0	4	4
OG15169_1	0	2	0	4	0	0	0	0	0	4	4
OG10324_1	0	2	0	4	0	0	0	0	0	4	4
