Gene	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT1G73940	4	-1	-1	-1	-1	-1	2	2	2	4	4
AT2G22660	-1	-1	-1	-1	4	-1	2	2	2	4	4
AT1G72750	-1	-1	-1	-1	1	0	2	2	2	4	4
AT2G43070	-1	-1	-1	-1	2	2	2	2	2	4	4
OG2274_3	-1	-1	-1	-1	2	2	-1	2	2	4	4
DUMMY594	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G32150	-1	1	0	1	-1	4	4	4	4	1	4
AT5G43130	-1	1	0	1	-1	-1	4	4	4	1	4
AT1G14740	-1	1	0	1	-1	-1	4	4	4	1	1
AT5G58003	1	1	0	1	-1	-1	4	4	4	1	1
AT5G20150	0	1	0	1	-1	-1	4	4	4	1	1
AT4G25790	0	1	0	1	-1	-1	1	4	4	1	4
DUMMY595	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G53030	0	1	1	1	1	1	1	1	1	1	2
AT5G08400	2	0	1	1	1	1	1	1	1	1	2
AT2G01060	0	0	1	1	1	1	1	1	1	1	4
AT2G25605	4	0	1	1	1	1	1	1	1	1	4
AT5G13890	-1	0	1	1	1	1	1	1	1	1	4
AT4G18710	-1	0	1	1	1	4	1	1	1	1	4
DUMMY596	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G05420	6	6	7	6	-1	-1	6	6	6	6	6
AT5G57290	7	6	7	6	-1	-1	6	6	6	6	6
AT3G14660	0	6	-1	6	-1	-1	6	6	6	6	6
AT1G32300	-1	6	-1	6	-1	-1	1	6	6	6	6
OG607_1	-1	6	-1	6	-1	-1	-1	6	6	6	6
OG446_1	-1	6	1	6	-1	-1	-1	6	6	6	6
AT4G01700	-1	6	1	6	-1	-1	3	6	6	6	6
AT3G49960	-1	6	0	6	-1	-1	3	6	6	6	6
AT1G29980	-1	6	6	6	-1	-1	6	6	6	6	6
AT1G63220	-1	6	3	6	-1	-1	6	6	6	6	6
AT4G28250	-1	6	0	6	-1	-1	6	6	6	6	6
AT4G38400	-1	4	0	6	-1	-1	6	6	6	6	6
AT5G05900	-1	-1	5	6	-1	-1	6	6	6	6	6
DUMMY597	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG4570_2	7	3	3	3	-1	-1	-1	-1	-1	7	7
OG3720_1	7	3	3	3	-1	-1	-1	-1	-1	3	7
OG11705_2	7	3	3	3	-1	-1	-1	-1	-1	3	7
OG3140_1	4	3	3	3	-1	-1	-1	-1	-1	3	3
OG2603_1	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG5324_2	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG898_1	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG5730_2	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG5671_1	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG5540_2	3	3	3	3	-1	-1	-1	-1	-1	3	3
OG3042_1	3	3	4	3	-1	-1	-1	-1	-1	3	3
OG4382_2	3	3	2	3	-1	-1	-1	-1	-1	3	3
OG96_2	3	4	3	3	-1	-1	-1	-1	-1	3	3
DUMMY598	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G70680	-1	-1	2	2	2	2	0	2	2	2	2
AT1G19740	2	0	2	2	2	2	0	2	2	2	2
AT5G16540	4	0	2	2	2	2	0	2	2	2	2
AT5G60710	-1	0	2	2	2	2	0	2	2	2	2
AT3G05620	-1	0	2	2	2	2	0	2	2	2	2
AT3G14450	-1	0	4	2	2	2	0	2	2	2	2
AT5G06900	-1	0	0	2	-1	2	0	2	2	2	2
AT5G56210	-1	0	0	2	2	2	0	2	2	2	2
AT5G01760	-1	1	0	2	2	2	0	2	2	2	2
AT3G43740	-1	2	0	2	2	2	0	2	2	2	2
OG1875_1	-1	2	0	2	2	2	-1	2	2	2	2
OG1400_1	-1	0	0	2	2	2	-1	2	2	2	2
OG655_3	-1	-1	0	2	2	2	-1	2	2	2	2
OG3452_2	-1	-1	0	2	2	2	-1	2	2	2	2
OG12353_1	-1	0	2	2	3	2	-1	2	2	2	2
OG2828_2	-1	0	2	2	2	2	-1	2	2	2	2
OG4244_2	-1	0	2	2	2	2	-1	2	2	2	2
OG7111_1	-1	0	2	2	2	2	-1	2	2	2	2
OG479_2	-1	0	2	2	2	2	-1	2	2	2	2
OG6358_1	-1	-1	2	2	2	2	-1	2	2	2	2
OG6748_2	-1	-1	2	2	2	2	-1	2	2	2	2
OG4537_2	-1	-1	2	2	2	2	-1	2	2	2	2
OG3861_2	-1	-1	2	2	2	2	-1	2	2	2	2
OG7233_1	-1	2	2	2	2	2	-1	2	2	2	2
OG10335_1	-1	2	2	2	2	2	-1	2	2	2	2
OG2313_2	-1	4	2	2	2	2	-1	2	2	2	2
OG11700_1	-1	4	2	2	2	4	-1	2	2	2	2
DUMMY599	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G05520	7	1	0	2	2	2	2	2	2	2	6
AT4G32320	7	1	2	2	2	2	2	2	2	2	6
AT3G57550	7	2	2	2	2	2	0	2	2	2	6
AT1G11480	7	2	4	2	2	2	2	2	2	2	6
AT1G52500	7	2	2	2	2	2	2	2	2	2	6
AT1G54350	2	2	2	2	2	2	2	2	2	2	6
AT5G03040	-1	2	2	2	2	2	2	2	2	2	6
AT4G11240	-1	2	2	2	6	2	2	2	2	2	6
AT4G32330	6	2	2	2	1	2	2	2	2	2	6
DUMMY600	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG1516_1	7	2	2	2	-1	-1	-1	-1	-1	2	6
OG1610_1	7	2	2	2	-1	-1	-1	-1	-1	2	6
OG4069_2	4	2	2	2	-1	-1	-1	-1	-1	2	4
OG4611_2	2	2	2	2	-1	-1	-1	-1	-1	2	3
OG4269_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG5208_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG5502_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG5585_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG6253_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG676_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG2307_2	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG3175_1	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG2170_1	2	2	2	2	-1	-1	-1	-1	-1	2	2
OG4511_2	2	2	2	2	3	-1	-1	-1	3	2	2
OG6540_1	2	1	3	2	-1	-1	-1	-1	-1	2	2
OG4806_2	2	1	1	2	-1	-1	-1	-1	-1	2	2
DUMMY601	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT5G16820	1	2	2	2	-1	4	0	2	2	2	2
AT1G74420	-1	2	2	2	-1	4	0	2	2	2	2
AT1G60160	-1	2	2	2	2	4	0	2	2	2	2
AT5G65400	-1	2	2	2	2	4	0	2	2	2	2
AT1G63710	-1	2	2	2	2	4	0	2	2	2	2
AT2G03290	-1	2	2	2	2	4	0	2	2	2	2
AT3G23340	-1	2	2	2	2	2	0	2	2	2	2
AT3G28140	-1	2	2	2	2	2	0	2	2	2	2
AT3G03460	-1	2	2	2	2	2	0	2	2	2	2
AT3G47300	-1	2	2	2	2	0	0	2	2	2	2
AT2G42960	-1	2	2	2	2	0	0	2	2	2	2
AT5G64510	4	2	2	2	2	0	0	2	2	2	2
AT1G17560	3	2	2	2	2	0	0	2	2	2	2
AT1G03990	-1	2	2	2	0	0	0	2	2	2	2
OG801_1	-1	2	2	2	0	0	-1	2	2	2	2
OG710_3	-1	2	2	2	0	0	-1	2	2	2	2
OG1889_2	-1	2	2	2	0	4	-1	2	2	2	2
AT5G02630	-1	2	2	2	0	4	0	2	2	2	2
AT1G24450	-1	2	2	2	0	4	4	2	2	2	2
AT4G39050	-1	2	2	2	0	4	2	2	2	2	2
AT2G25737	-1	2	2	2	0	4	0	4	2	2	2
AT5G22810	-1	2	2	2	0	-1	0	4	2	2	2
