Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT3G48880	-2	-2	-2	-2	-2	-2	0	0	0	0	0
OG658_1	-1	-2	-2	-2	-2	0	-2	0	0	0	0
OG658_2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG660_1	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG660_2	-2	-1	-2	1	-2	-2	-2	-2	-2	0	0
AT3G15355	-2	-2	0	0	3	-2	0	3	3	0	0
OG660_4	-2	-2	0	0	-2	-2	-2	-2	-2	0	0
OG667_1	-1	3	1	3	-2	-2	-2	-2	-2	3	0
OG667_2	0	-2	0	3	-1	3	-2	3	3	3	0
OG667_3	-2	-1	-1	0	-2	-2	-2	-2	-2	0	0
AT5G42860	-2	0	0	0	-1	3	3	3	3	0	0
AT1G45688	-2	-2	-2	-2	-2	3	3	3	3	0	0
OG668_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG668_2	-2	-1	-1	0	-2	-2	-2	-2	-2	0	0
OG668_3	-2	-2	0	0	-2	-2	-2	-2	0	0	0
OG668_4	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT1G32090	0	0	-1	0	-1	3	3	3	3	3	0
OG669_2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG669_3	-2	1	-2	1	-1	3	-2	3	1	1	0
AT4G22120	-2	-1	1	1	-1	1	1	1	1	1	0
AT4G04340	-2	-2	-2	-2	-2	-2	1	1	1	1	0
AT1G62320	-2	-2	-2	-2	-2	-2	-1	1	1	1	0
AT5G24430	0	2	2	2	2	2	5	5	5	5	0
AT3G49370	1	0	0	5	3	5	3	5	5	0	0
AT3G56760	1	0	0	0	0	3	-1	3	0	0	0
AT3G19100	-2	-2	-2	-2	-1	-1	0	0	0	0	0
AT1G49580	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT4G33880	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT2G14760	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
AT5G43175	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG677_1	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0
OG677_2	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG680_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG680_2	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG680_3	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG686_1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT5G15460	0	-1	0	0	0	3	-1	3	0	0	0
AT3G26980	-2	0	-1	0	0	3	0	0	0	0	0
