OG232_0	c2_AC005261.1,c4_AC005261.1,c1_AC005261.1,c3_AC005261.1
OG233_0	c2_AC005261.2,c4_AC005261.2,c1_AC005261.2,c3_AC005261.2
OG234_0	c2_AC005261.3,c4_AC005261.3,c1_AC005261.3,c3_AC005261.3
OG235_0	c2_AC005288.1,c4_AC005288.1,c1_AC005288.1,c3_AC005288.1
OG236_0	c2_AC005304.1,c4_AC005304.1,c1_AC005304.1,c3_AC005304.1
OG237_0	c2_AC005304.2,c4_AC005304.2,c1_AC005304.2,c3_AC005304.2
OG238_0	c2_AC005304.3,c4_AC005304.3,c1_AC005304.3,c3_AC005304.3
OG239_0	c2_AC005307.1,c4_AC005307.1,c1_AC005307.1,c3_AC005307.1
OG240_0	c2_AC005329.1,c4_AC005329.1,c1_AC005329.1,c3_AC005329.1
OG241_0	c2_AC005330.1,c4_AC005330.1,c1_AC005330.1,c3_AC005330.1
OG242_0	c2_AC005332.3,c4_AC005332.3,c1_AC005332.3,c3_AC005332.3
OG243_0	c2_AC005332.4,c4_AC005332.4,c1_AC005332.4,c3_AC005332.4
OG244_0	c2_AC005332.5,c4_AC005332.5,c1_AC005332.5,c3_AC005332.5
OG245_0	c2_AC005332.6,c4_AC005332.6,c1_AC005332.6,c3_AC005332.6
OG246_0	c2_AC005332.7,c4_AC005332.7,c1_AC005332.7,c3_AC005332.7
OG247_0	c2_AC005332.8,c4_AC005332.8,c1_AC005332.8,c3_AC005332.8
OG248_0	c2_AC005339.1,c4_AC005339.1,c1_AC005339.1,c3_AC005339.1
OG249_0	c2_AC005363.2,c4_AC005363.2,c1_AC005363.2,c3_AC005363.2
OG250_0	c2_AC005393.1,c4_AC005393.1,c1_AC005393.1,c3_AC005393.1
OG251_0	c2_AC005479.2,c4_AC005479.2,c1_AC005479.2,c3_AC005479.2
OG252_0	c2_AC005480.1,c4_AC005480.1,c1_AC005480.1,c3_AC005480.1
OG253_0	c2_AC005481.1,c4_AC005481.1,c1_AC005481.1,c3_AC005481.1
OG254_0	c2_AC005498.2,c4_AC005498.2,c1_AC005498.2,c3_AC005498.2
OG255_0	c2_AC005498.3,c4_AC005498.3,c1_AC005498.3,c3_AC005498.3
OG256_0	c2_AC005523.2,c4_AC005523.2,c1_AC005523.2,c3_AC005523.2
OG257_0	c2_AC005534.1,c4_AC005534.1,c1_AC005534.1,c3_AC005534.1
OG258_0	c2_AC005537.1,c4_AC005537.1,c1_AC005537.1,c3_AC005537.1
OG259_0	c2_AC005540.1,c4_AC005540.1,c1_AC005540.1,c3_AC005540.1
OG260_0	c2_AC005592.1,c4_AC005592.1,c1_AC005592.1,c3_AC005592.1
OG261_0	c2_AC005609.1,c4_AC005609.1,c1_AC005609.1,c3_AC005609.1
OG262_0	c2_AC005609.3,c4_AC005609.3,c1_AC005609.3,c3_AC005609.3
OG263_0	c2_AC005609.4,c4_AC005609.4,c1_AC005609.4,c3_AC005609.4
OG264_0	c2_AC005609.5,c4_AC005609.5,c1_AC005609.5,c3_AC005609.5
OG265_0	c2_AC005614.1,c4_AC005614.1,c1_AC005614.1,c3_AC005614.1
OG266_0	c2_AC005618.1,c4_AC005618.1,c1_AC005618.1,c3_AC005618.1
OG267_0	c2_AC005670.1,c4_AC005670.1,c1_AC005670.1,c3_AC005670.1
OG268_0	c2_AC005670.2,c4_AC005670.2,c1_AC005670.2,c3_AC005670.2
OG269_0	c2_AC005692.1,c4_AC005692.1,c1_AC005692.1,c3_AC005692.1
OG270_0	c2_AC005695.1,c4_AC005695.1,c1_AC005695.1,c3_AC005695.1
OG271_0	c2_AC005695.2,c4_AC005695.2,c1_AC005695.2,c3_AC005695.2
OG272_0	c2_AC005695.3,c4_AC005695.3,c1_AC005695.3,c3_AC005695.3
OG273_0	c2_AC005696.1,c4_AC005696.1,c1_AC005696.1,c3_AC005696.1
OG274_0	c2_AC005696.2,c4_AC005696.2,c1_AC005696.2,c3_AC005696.2
OG275_0	c2_AC005696.4,c4_AC005696.4,c1_AC005696.4,c3_AC005696.4
OG276_0	c2_AC005697.2,c4_AC005697.2,c1_AC005697.2,c3_AC005697.2
OG277_0	c2_AC005725.1,c4_AC005725.1,c1_AC005725.1,c3_AC005725.1
OG278_0	c2_AC005726.1,c4_AC005726.1,c1_AC005726.1,c3_AC005726.1
OG279_0	c2_AC005726.4,c4_AC005726.4,c1_AC005726.4,c3_AC005726.4
OG280_0	c2_AC005726.5,c4_AC005726.5,c1_AC005726.5,c3_AC005726.5
OG281_0	c2_AC005730.2,c4_AC005730.2,c1_AC005730.2,c3_AC005730.2
OG282_0	c2_AC005753.1,c4_AC005753.1,c1_AC005753.1,c3_AC005753.1
OG283_0	c2_AC005757.1,c4_AC005757.1,c1_AC005757.1,c3_AC005757.1
OG284_0	c2_AC005775.1,c4_AC005775.1,c1_AC005775.1,c3_AC005775.1
OG285_0	c2_AC005776.2,c4_AC005776.2,c1_AC005776.2,c3_AC005776.2
OG286_0	c2_AC005786.2,c4_AC005786.2,c1_AC005786.2,c3_AC005786.2
OG287_0	c2_AC005821.1,c4_AC005821.1,c1_AC005821.1,c3_AC005821.1
OG288_0	c2_AC005828.3,c4_AC005828.3,c1_AC005828.3,c3_AC005828.3
OG289_0	c2_AC005833.1,c4_AC005833.1,c1_AC005833.1,c3_AC005833.1
OG290_0	c2_AC005837.1,c4_AC005837.1,c1_AC005837.1,c3_AC005837.1
OG291_0	c2_AC005837.3,c4_AC005837.3,c1_AC005837.3,c3_AC005837.3
OG292_0	c2_AC005838.2,c4_AC005838.2,c1_AC005838.2,c3_AC005838.2
OG293_0	c2_AC005899.1,c4_AC005899.1,c1_AC005899.1,c3_AC005899.1
OG294_0	c2_AC005899.5,c4_AC005899.5,c1_AC005899.5,c3_AC005899.5
OG295_0	c2_AC005899.6,c4_AC005899.6,c1_AC005899.6,c3_AC005899.6
OG296_0	c2_AC005899.7,c4_AC005899.7,c1_AC005899.7,c3_AC005899.7
OG297_0	c2_AC005899.8,c4_AC005899.8,c1_AC005899.8,c3_AC005899.8
OG298_0	c2_AC005920.1,c4_AC005920.1,c1_AC005920.1,c3_AC005920.1
OG299_0	c2_AC005920.3,c4_AC005920.3,c1_AC005920.3,c3_AC005920.3
OG300_0	c2_AC005921.2,c4_AC005921.2,c1_AC005921.2,c3_AC005921.2
OG301_0	c2_AC005944.1,c4_AC005944.1,c1_AC005944.1,c3_AC005944.1
OG302_0	c2_AC005962.1,c4_AC005962.1,c1_AC005962.1,c3_AC005962.1
OG303_0	c2_AC005972.1,c4_AC005972.1,c1_AC005972.1,c3_AC005972.1
OG304_0	c2_AC005972.4,c4_AC005972.4,c1_AC005972.4,c3_AC005972.4
OG305_0	c2_AC006004.1,c4_AC006004.1,c1_AC006004.1,c3_AC006004.1
OG306_0	c2_AC006012.1,c4_AC006012.1,c1_AC006012.1,c3_AC006012.1
OG307_0	c2_AC006017.1,c4_AC006017.1,c1_AC006017.1,c3_AC006017.1
OG308_0	c2_AC006019.1,c4_AC006019.1,c1_AC006019.1,c3_AC006019.1
OG309_0	c2_AC006019.2,c4_AC006019.2,c1_AC006019.2,c3_AC006019.2
OG310_0	c2_AC006030.1,c4_AC006030.1,c1_AC006030.1,c3_AC006030.1
OG311_0	c2_AC006042.4,c4_AC006042.4,c1_AC006042.4,c3_AC006042.4
OG312_0	c2_AC006058.1,c4_AC006058.1,c1_AC006058.1,c3_AC006058.1
OG313_0	c2_AC006058.2,c4_AC006058.2,c1_AC006058.2,c3_AC006058.2
